,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
199007,-3.24,0.25,0.23,-1.02,-2.12
199008,-11.25,-8.77,-8.77,-9.68,-9.4
199009,-8.14,-5.66,-4.08,-5.09,-5.69
199010,-4.67,-1.29,-0.69,-1.82,0.62
199011,8.14,6.17,6.61,7.28,6.68
199012,2.18,2.06,3.01,2.34,4.39
199101,5.96,3.21,3.98,5.33,6.41
199102,9.65,7.49,6.11,6.9,8.67
199103,5.64,1.55,3.13,2.01,4.06
199104,0.14,-0.29,0.72,0.13,0.33
199105,3.23,2.76,3.01,5.41,4.21
199106,-5.89,-5.1,-3.85,-4.82,-4.03
199107,3.62,4.27,3.9,4.02,6.03
199108,2.26,2.79,1.12,2.37,4
199109,0.44,0.52,-0.69,-1.77,-1.74
199110,3.83,2.63,1.25,1.07,1.59
199111,-4,-3.27,-4.72,-5.13,-1.95
199112,9.05,8.74,10.17,9.77,13.95
199201,3.05,-0.6,-0.15,-0.1,-1.69
199202,1.09,1.63,3.04,0.89,0.83
199203,-2.9,-1.3,-1.82,-2.41,-2.39
199204,-2.52,1.32,2.82,4.01,0.27
199205,0.8,1.15,0.37,0.4,0.78
199206,-3.12,-1.37,-1.24,-1.5,-2.66
199207,2.85,3.37,4.49,4.41,4.28
199208,-5.31,-3.84,-1.63,-1.93,-1.14
199209,1.41,0.66,1.29,1.83,1.2
199210,1.7,-0.61,-0.04,1.12,2.29
199211,7.3,3.84,2.78,3.96,4.6
199212,3.72,0.22,2.14,3.02,0.92
199301,3.89,2.8,1.85,0.57,-0.33
199302,-0.56,2.16,2.38,1.27,-1.26
199303,3.4,2.66,3.36,3.01,1.37
199304,0.98,-1.31,-1.18,-2.38,-5.34
199305,4.3,2.42,2.84,2.55,3.57
199306,1.39,1.31,0.17,1.45,-0.5
199307,2.2,1.56,1.2,-0.93,-2.11
199308,5.43,4.3,2.78,4.5,3.2
199309,-0.02,0.13,0.04,0.04,0.07
199310,2.58,-0.07,1.33,2.07,1.77
199311,-3.92,-1.94,-1.97,-1.31,-0.25
199312,0.66,2.61,2.94,1.27,1.44
199401,3.92,4.6,3.56,2.55,2.23
199402,-4.45,-3.03,-2.19,-1.15,-2.54
199403,-5.36,-4.16,-4.7,-4.16,-4.18
199404,-0.36,1.5,1.08,0.41,1.92
199405,0.4,-0.44,-0.07,1.56,2.16
199406,-3.59,-2.79,-2.74,-2.09,-2.85
199407,4.14,3.16,3.43,2.94,2.87
199408,4.86,4.25,4.65,3.38,5.03
199409,-1.9,-1.65,-2.03,-2.94,-1.47
