,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197401,12.76,8.56,6.33,2.73,-1.37
197402,-0.13,1.07,-0.05,0.56,-0.02
197403,0.8,-0.86,-1.76,-3.11,-2.42
197404,-5.39,-6.07,-5.8,-6.32,-4.08
197405,-7.22,-7.51,-8.1,-7.04,-2.52
197406,-2.89,-2.77,-3.73,-3.53,-1.75
197407,-5.6,-4.85,-3.61,-4.82,-8.28
197408,-8.19,-8.25,-8.58,-9.65,-8.66
197409,-8.06,-8.38,-8.18,-8.51,-11.73
197410,8.24,9.8,10.9,15.18,18.12
197411,-5.62,-4.3,-3.73,-2.43,-4.22
197412,-7.77,-6.16,-4.91,-3.93,-1.97
197501,27.51,25,22.59,20.29,11.51
197502,4.55,4.56,4.24,3.96,6.64
197503,8.11,6.01,5.39,5.43,2.11
197504,3.61,3.52,4.72,4.7,4.71
197505,8.05,7.77,5.62,6.17,5.3
197506,6.97,6.78,5.82,7.11,4.69
197507,-0.47,-3.18,-4.13,-6,-6.71
197508,-5.91,-4.92,-3.85,-3.47,-1.76
197509,-3.45,-3.71,-3.98,-4.02,-3.6
197510,1.4,2.69,2.82,5.88,6.47
197511,1.93,2.41,2.83,4.06,3.05
197512,-0.95,-1.26,0.01,-0.7,-1.31
197601,19.5,17.97,16.66,14.86,11.3
197602,11.32,8.16,5.88,3.04,-1.09
197603,1.77,1.01,1.31,1.82,3.07
197604,-1.3,-1.2,-0.69,-1.33,-1.02
197605,-2.56,-1.99,-1.31,-1.49,-0.69
197606,2.43,3.46,5.61,5.38,4.49
197607,0.15,0.58,-0.18,-0.14,-0.81
197608,-1.48,-2.06,-1.71,-0.7,0.34
197609,1.76,3.19,2.51,2.06,2.49
197610,-1.72,-2.1,-1.79,-1.75,-2.15
197611,2.97,3.76,4.01,3.06,-0.24
197612,9.95,9.63,8.22,7.49,5.23
197701,4.53,1.51,-0.12,-2.5,-4.92
197702,0.2,-0.75,-1.94,-2.18,-1.58
197703,0.9,0.06,0.44,0.05,-1.46
197704,1.94,1.93,1.7,1.58,-0.02
197705,0.36,-0.07,-0.09,-0.72,-1.34
197706,6.07,6.74,6.45,5.49,4.76
197707,1.32,-0.08,-0.48,-1.73,-1.44
197708,-0.39,-0.61,-0.34,-1.75,-1.38
197709,1.77,0.48,1.15,0.57,-0.16
197710,-2.36,-2.53,-2.67,-3.56,-4.18
197711,8.01,8.01,6.96,6.59,3.36
197712,2.76,1.72,1.32,0.65,0.54
197801,-0.9,-3.46,-4.36,-5.49,-6.06
197802,3.39,1.39,0.97,-0.7,-1.62
197803,7.36,6.39,5.45,4.85,2.29
197804,8.32,7.89,7.63,7.06,8.88
197805,7.23,5.58,4.96,3.45,1.15
197806,0.76,0.2,0.16,-0.41,-1.75
197807,5.29,6.52,5.05,6.55,5.45
197808,9.01,8.22,7.11,5.13,3.12
