"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"353",1955,5,166125,0.00662058757062147,0.0107319351080623
"354",1955,6,166819,0.033413387189904,0.0665077147775979
"355",1955,7,177121,0.00771835362414353,0.0199778906307304
"356",1955,8,181115,0.00452772488262911,0.00370551426552192
"357",1955,9,180892,-0.00784798327317403,-0.00203683122434598
"358",1955,10,179595,-0.0166651147695202,-0.0249353342837178
"359",1955,11,175125,0.0537311295167262,0.0720417843304901
"360",1955,12,186333,0.0213833009933913,0.0166888893734188
"361",1956,1,193170,-0.0200778246936852,-0.0281316479685679
"362",1956,2,187548,0.0321621525423729,0.0396235554138673
"363",1956,3,194136,0.0498830687382298,0.0678820164988584
"364",1956,4,207597,0.00383735981762935,0.00465781911927347
"365",1956,5,208374,-0.0388813607806914,-0.049732182906696
"366",1956,6,196883,0.0208930780489746,0.036750649422172
"367",1956,7,203434,0.0385420188323917,0.0505388465273112
"368",1956,8,213560,-0.017511875,-0.0301238688604618
"369",1956,9,205905,-0.034752752354049,-0.0495265877984019
"370",1956,10,195911,0.00697915754716981,0.00770091432339059
"371",1956,11,196862,0.00549909339622642,0.00566264822740422
"372",1956,12,196530,0.0220947133766573,0.0339881252544157
"373",1957,1,206654,0.00269644798500469,-0.033077590602057
"374",1957,2,199841,-0.022126234741784,-0.0182559049179131
"375",1957,3,195558,0.021609609046729,0.0235767236735527
"376",1957,4,199773,0.0250546646326301,0.0450804305218554
"377",1957,5,208916,0.0208559118738404,0.0370546135736946
"378",1957,6,216169,-0.00706176155268022,-0.00503132452240472
"379",1957,7,214600,0.00546434523185424,0.00956666120118875
"380",1957,8,216803,-0.047896070987741,-0.0486114265962023
"381",1957,9,205356,-0.0509445402486648,-0.0572286951172228
"382",1957,10,193001,-0.0630003689052438,-0.0402749029670006
"383",1957,11,185170,0.0202569636885935,0.0257542849151499
"384",1957,12,189202,-0.0467686445817588,-0.0365619036590915
"385",1958,1,184098,0.103422227356747,0.0493659427818624
"386",1958,2,192769,-0.0109185522732115,-0.0139872160225085
"387",1958,3,188840,0.0345152599444958,0.033677451562031
"388",1958,4,195220,0.0294344941562301,0.0316801827409919
"389",1958,5,201216,0.0381635481481482,0.0242188321644856
"390",1958,6,204990,0.0309923942134712,0.0295611802129241
"391",1958,7,210306,0.0524212441968431,0.0445243400000167
"392",1958,8,219069,0.0292337437325905,0.0194811606388145
"393",1958,9,222186,0.0504512439261877,0.0484160776457824
"394",1958,10,232073,0.0314188308550186,0.0271189042384911
"395",1958,11,238083,0.0411224186046512,0.0311522146377665
"396",1958,12,244708,0.0375721114206128,0.0536724479230692
"397",1959,1,263460,0.0406062974059963,0.00918274320332243
"398",1959,2,266284,0.0276957581093605,0.0113559508844748
"399",1959,3,268166,0.011577903523297,0.00497428771685196
"400",1959,4,268683,0.0249408068391867,0.0385621937273288
"401",1959,5,279109,0.00708944454713493,0.0194765915800829
"402",1959,6,283802,0.00436676584022039,-1.65993238617915e-05
"403",1959,7,283287,0.0293982591911765,0.0342878159493534
"404",1959,8,292752,-0.0143496495412844,-0.0119981885153096
"405",1959,9,288069,-0.0434889945155393,-0.0449554785359333
"406",1959,10,274576,0.0212479598907302,0.0158233749586104
"407",1959,11,278699,0.0148330661216326,0.018547880436278
"408",1959,12,282685,0.0205558070973612,0.0278715567685614
"409",1960,1,294408,-0.0379213633060854,-0.0664944266786024
"410",1960,2,274640,0.00857649230769231,0.0145494955075372
"411",1960,3,277965,-0.0237396043360434,-0.0128763748880622
"412",1960,4,273845,-0.0184901666077748,-0.0151115484881856
"413",1960,5,269591,0.0248250376681614,0.0339164682790275
"414",1960,6,277758,0.0209824551793309,0.0231685306517958
"415",1960,7,283651,-0.0182053333333333,-0.0223238337557194
"416",1960,8,277135,0.0360106734513274,0.0317563458809551
"417",1960,9,284897,-0.0580786501328609,-0.0583322417068633
"418",1960,10,268258,-0.0231989734513274,-0.00490792133051494
"419",1960,11,266624,0.0452052677304965,0.0482573710995478
"420",1960,12,277750,0.0369980520718675,0.0486921840339464
"421",1961,1,294776,0.0787682033598585,0.0639092667173274
"422",1961,2,313603,0.0587541945181256,0.0370979622125775
"423",1961,3,323988,0.0485084663373716,0.0308890550265531
