"","Year","Month","Bond_lag_MV","Bond_Ew_Ret","Bond_Vw_Ret"
"185",1941,5,20252,0.00155342773,0.00202522993743828
"186",1941,6,20252,0.006622281725,0.00687560515026664
"187",1941,7,21700,0.00386810067142857,0.00414954648942857
"188",1941,8,21700,-0.00126221237142857,-0.00109994089056682
"189",1941,9,21700,-0.00104901652857143,-0.0010057576633871
"190",1941,10,21700,0.00851141408095238,0.00941300790202304
"191",1941,11,24416,-0.00134438994090909,-0.00179993700315367
"192",1941,12,24416,-0.0157846707727273,-0.0166251565725754
"193",1942,1,24926,0.000367473317391304,-8.07687557971596e-05
"194",1942,2,25940,-0.0020255024625,-0.00255264437287972
"195",1942,3,27440,0.012451078012,0.0131643957821939
"196",1942,4,27440,-0.001517642512,-0.0018143179064395
"197",1942,5,27440,0.005444627756,0.00617817963963921
"198",1942,6,28732,0.000257533342307692,0.000220379280161492
"199",1942,7,28732,0.000844842388461538,0.000918895595771266
"200",1942,8,32947,0.00146003691071429,0.00153410484445018
"201",1942,9,32947,0.000204907392857143,6.49139665675175e-05
"202",1942,10,32947,0.002680240075,0.0026794216046074
"203",1942,11,34909,-0.000487020744827586,-0.000617328848660804
"204",1942,12,34909,0.00255027910689655,0.00287103608727835
"205",1943,1,40800,0.00451810723548387,0.00425767646832353
"206",1943,2,40800,0.00168707396451613,0.00151441216470098
"207",1943,3,40800,0.00107268617741935,0.00110405911690931
"208",1943,4,40800,0.00536125890967742,0.00543498254482108
"209",1943,5,40800,0.0072787504,0.00752450855041912
"210",1943,6,49501,0.00479555847575758,0.00414277076111594
"211",1943,7,49501,6.54128545454546e-05,-5.6518122894487e-05
"212",1943,8,52208,0.000640553652941176,0.000659038040214143
"213",1943,9,52208,0.00288770284411765,0.00248908712791526
"214",1943,10,52208,0.000985059302941176,0.00115427096432539
"215",1943,11,64032,-0.000295401852777778,-3.35716593687531e-05
"216",1943,12,64032,0.00152502296944444,0.00195141135581897
"217",1944,1,64032,0.0020749016,0.00202436115215517
"218",1944,2,64032,0.00459981729166667,0.00411482277669447
"219",1944,3,73051,0.00157938987368421,0.00140246552783398
"220",1944,4,76799,0.00160077030769231,0.00174146966820922
"221",1944,5,76799,0.00210761656410256,0.00207220326084715
"222",1944,6,76799,0.00219075061538462,0.00186530475142645
"223",1944,7,76799,0.00258576754358974,0.00270410660647925
"224",1944,8,82624,0.002119659715,0.00293467057184837
"225",1944,9,82624,2.7580375e-05,0.000456100027127711
"226",1944,10,82624,0.0012835330975,0.00123870999713885
"227",1944,11,82624,0.0020383317825,0.00201016981035534
"228",1944,12,82624,0.003821452425,0.00352054676713546
"229",1945,1,86791,0.00788313114047619,0.00902944946934705
"230",1945,2,95453,0.00507424601395349,0.00524629767119839
"231",1945,3,95453,0.00133995632325581,0.00168081972826627
"232",1945,4,95453,0.00417541055348837,0.0051743949868595
"233",1945,5,95453,0.000470373002325581,0.00123111628536033
"234",1945,6,95453,0.00483250982093023,0.0056133980957885
