KYTREASNOX,MCALDT,TMYTM
2000003,02/28/2003,1.234303422
2000003,03/31/2003,1.1442514928
2000003,04/30/2003,1.1501491894
2000003,05/30/2003,1.1568174988
2000003,06/30/2003,1.0387507358
2000003,07/31/2003,1.2256795578
2000003,08/29/2003,1.2817370845
2000003,09/30/2003,1.0542850129
2000003,10/31/2003,1.2385377316
2000003,11/28/2003,1.433189286
2000003,12/31/2003,1.2264228379
2000003,01/30/2004,1.2246861728
2000003,02/27/2004,1.2001153365
2000003,03/31/2004,1.1449729354
2000003,04/30/2004,1.6066150818
2000003,05/28/2004,1.8033758781
2000003,06/30/2004,2.0110260297
2000003,07/30/2004,2.0845673564
2000003,08/31/2004,1.9430484651
2000003,09/30/2004,2.157225303
2000003,10/29/2004,2.2052379205
2000003,11/30/2004,2.6226448082
2000003,12/31/2004,2.7493314035
2000003,01/31/2005,2.9355939478
2000003,02/28/2005,3.2473824989
2000003,03/31/2005,3.4662964787
2000003,04/29/2005,3.3719302179
2000003,05/31/2005,3.3687677358
2000003,06/30/2005,3.489045428
2000003,07/29/2005,3.8482055267
2000003,08/31/2005,3.7220631835
2000003,09/30/2005,4.061243676
2000003,10/31/2005,4.3092542546
2000003,11/30/2005,4.3927867192
2000003,12/30/2005,4.3888611917
2000003,01/31/2006,4.544350691
2000003,02/28/2006,4.6787961928
2000003,03/31/2006,4.8092282024
2000003,04/28/2006,4.8545237731
2000003,05/31/2006,5.0341421945
2000003,06/30/2006,5.2052160158
2000003,07/31/2006,5.0436419177
2000003,08/31/2006,4.9281296508
2000003,09/29/2006,4.8615642796
2000003,10/31/2006,4.8553478053
2000003,11/30/2006,4.8074022345
2000003,12/29/2006,4.9383943468
2000003,01/31/2007,4.985878722
2000003,02/28/2007,4.8357259285
2000003,03/30/2007,4.8194486245
2000003,04/30/2007,4.8740431882
2000003,05/31/2007,4.9611975539
2000003,06/29/2007,4.9361497435
2000003,07/31/2007,4.7198495989
2000003,08/31/2007,4.3630713747
2000003,09/28/2007,4.0357956408
2000003,10/31/2007,4.0260475518
2000003,11/30/2007,3.1202631693
2000003,12/31/2007,3.2729280783
2000003,01/31/2008,2.0810455097
2000003,02/29/2008,1.688652293
2000003,03/31/2008,1.4615557377
2000003,04/30/2008,1.9071634416
2000003,05/30/2008,2.2626884506
2000003,06/30/2008,2.3637789774
2000003,07/31/2008,2.2522529389
2000003,08/29/2008,2.210090398
2000003,09/30/2008,1.8912181681
2000003,10/31/2008,1.4402556019
2000003,11/28/2008,0.8476211339
2000003,12/31/2008,0.4088812593
2000003,01/30/2009,0.5786749271
2000003,02/27/2009,0.7875744098
2000003,03/31/2009,0.6110437065
2000003,04/30/2009,0.4624414891
2000003,05/29/2009,0.5412401587
2000003,06/30/2009,0.5405778959
2000003,07/31/2009,0.5064531787
2000003,08/31/2009,0.4423523295
2000003,09/30/2009,0.4165100719
2000003,10/30/2009,0.4082623947
2000003,11/30/2009,0.2829093289
2000003,12/31/2009,0.5018858451
2000003,01/29/2010,0.3100866108
2000003,02/26/2010,0.3740237067
2000003,03/31/2010,0.4649995481
2000003,04/30/2010,0.4910497834
2000003,05/28/2010,0.4692378978
2000003,06/30/2010,0.3957114567
2000003,07/30/2010,0.3668234761
2000003,08/31/2010,0.3062929232
2000003,09/30/2010,0.2989716903
2000003,10/29/2010,0.2798473937
2000003,11/30/2010,0.3217147648
2000003,12/31/2010,0.3744848942
2000003,01/31/2011,0.3135836347
2000003,02/28/2011,0.3129620294
2000003,03/31/2011,0.3510745058
2000003,04/29/2011,0.3017453449
2000003,05/31/2011,0.2372593776
2000003,06/30/2011,0.2407961393
2000003,07/29/2011,0.3395288253
2000003,08/31/2011,0.1474848172
2000003,09/30/2011,0.2154200586
2000003,10/31/2011,0.1591279636
2000003,11/30/2011,0.1673135062
2000003,12/30/2011,0.1761024249
2000003,01/31/2012,0.1526563049
2000003,02/29/2012,0.2107115837
2000003,03/30/2012,0.2478812288
2000003,04/30/2012,0.2101302714
2000003,05/31/2012,0.2286347469
2000003,06/29/2012,0.2943662841
2000003,07/31/2012,0.1944755811
2000003,08/31/2012,0.221632423
2000003,09/28/2012,0.2141935284
2000003,10/31/2012,0.2222423138
2000003,11/30/2012,0.2196090952
2000003,12/31/2012,0.1875005091
2000003,01/31/2013,0.1852486221
2000003,02/28/2013,0.1734870743
2000003,03/28/2013,0.1940246538
2000003,04/30/2013,0.146480466
2000003,05/31/2013,0.1845553787
2000003,06/28/2013,0.2124553764
2000003,07/31/2013,0.1686893705
2000003,08/30/2013,0.1863849591
2000003,09/30/2013,0.1267323533
2000003,10/31/2013,0.1497966065
2000003,11/29/2013,0.1784042239
2000003,12/31/2013,0.1802203364
2000003,01/31/2014,0.1614771691
2000003,02/28/2014,0.1651571676
2000003,03/31/2014,0.1496489388
2000003,04/30/2014,0.1074140412
2000003,05/30/2014,0.1361873764
2000003,06/30/2014,0.1503381074
2000003,07/31/2014,0.1504777217
2000003,08/29/2014,0.1145252365
2000003,09/30/2014,0.1471681426
2000003,10/31/2014,0.1510464746
2000003,11/28/2014,0.1805905006
2000003,12/31/2014,0.3119407789
