,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
199703,-2.85,-4.84,-4.72,-4.94,-7.5
199704,4.49,5.94,7.25,2.64,-0.97
199705,5.67,5.19,5.87,8.85,14.32
199706,4.98,5.13,3.87,4.49,2.89
199707,7.51,5.65,9.58,10.62,8.08
199708,-6.23,-4.96,-3.11,-2.66,1.8
199709,6.31,4.86,6.06,5.76,6.2
199710,-2.27,-2.31,-3.05,-3.49,-7.66
199711,5.83,4.36,3.2,1.67,-2.91
199712,4.63,1.59,1.23,-0.38,-1.61
199801,-0.2,0.36,1.8,1.71,0.27
199802,6.77,7.45,7.78,6.98,8.8
199803,6.22,4.82,4.18,5.51,4.21
199804,-0.16,1.16,2.95,-0.2,2.99
199805,-2.04,0.36,-2.69,-5.49,-6.94
199806,3.02,3.19,5.88,4.24,1.39
199807,-4.23,-1.63,0.36,-1.01,-5.13
199808,-11,-15.54,-14.96,-16.94,-24.41
199809,6.52,5.21,4.7,10.04,11.08
199810,5.37,8.23,7.99,10.25,7.37
199811,6.46,4.86,6.79,7.47,8.96
199812,5.88,6,7.82,7.14,7.97
199901,-0.7,4.2,5.91,5.74,11.77
199902,-0.5,-3.71,-4.3,-5.33,-8.24
199903,2.97,3.82,1.75,3.02,11.52
199904,3.16,4.2,5.76,4.21,9.08
199905,-2.92,-0.97,-1.5,-2.76,-2.08
199906,4.57,5,5.5,3.57,9.09
199907,-3.08,-3.44,-2.42,-1.9,-4.57
199908,-0.34,-2.77,0.15,-0.29,-0.3
199909,-2.76,-3.64,-3.44,-1.2,1.8
199910,8.18,6.06,4.54,1.69,10.51
199911,0,1.06,1.82,7.05,14.72
199912,6.25,2.89,7.5,5.96,20.54
200001,-3.69,-6.2,-5.51,2.44,-4.36
200002,-3.04,-11.37,-3.77,7.98,25.26
200003,11.66,11.3,10.82,7.6,-6.74
200004,2.93,-0.8,-5.49,-5.48,-15.61
200005,2.31,-0.07,-2.61,-8.02,-10.86
200006,-3.32,-0.15,3.66,7.22,17.18
200007,1.21,1.83,-2.14,-3.22,-7.03
200008,7.23,5.18,5.3,6.95,14.34
200009,-4.89,-1.31,-2.62,-7.67,-9.11
200010,-1.1,1.61,0.56,-2.93,-9.76
200011,-1.6,-3.31,-4.9,-13.6,-24.87
200012,3.69,3.23,6.05,-3.12,-0.94
200101,-4.76,-4.46,3.84,9.75,16.28
200102,-1.26,-1.68,-4.17,-15.97,-28.15
200103,-4.77,-4.04,-4.6,-8.35,-17.07
200104,5.2,5.24,8.88,9.71,18.2
200105,2.26,2.17,1.48,2.15,-3.1
200106,-1.32,-2.7,-2.41,-1.1,0.3
200107,-2.26,2.16,0.21,-3.6,-9.85
200108,-2.88,-6.01,-6.2,-9.05,-12.76
200109,-3.42,-8.13,-7.51,-17.13,-21.84
200110,1.41,0.32,1.45,6.94,14.6
200111,4.3,8.58,9.48,10.14,14.76
200112,0.79,2.67,2.57,0.04,3.74
200201,-1.77,-0.37,-3.54,0.81,-4.63
200202,0.36,0.8,-4.28,-5.18,-14.48
200203,3.59,2.84,3.82,6.06,11.12
200204,-4.35,-4.16,-2.53,-5.76,-14.52
200205,-0.63,0.27,-0.56,-1.77,-6.9
200206,-4.46,-4.15,-11.09,-9.29,-15.71
200207,-5.72,-6.75,-10.41,-9.78,-11.73
200208,1,0.91,0.5,0.78,0.07
200209,-10.15,-7.91,-9.47,-10.53,-15.8
200210,5.6,7.03,9.94,9.33,12.05
200211,1.73,3.6,7.71,11.32,21.28
200212,-3.44,-5.1,-4.16,-8.63,-12.84
200301,-2.79,-2.59,-4.09,-1.65,0.21
200302,-1.45,-1.06,-4.01,-1.04,-3.99
200303,2.04,-0.11,1.75,-1.02,1.7
200304,6.97,7.95,8.08,10.82,15.7
200305,3.27,4.4,7.73,11.16,17.74
200306,0.9,1.26,1.79,2.06,3.94
200307,1.99,0.86,3.07,2.99,6.62
200308,0.61,0.99,4.76,6.58,6.37
200309,0.27,-2.43,-2.45,-1.89,-1.55
200310,3.7,5.57,8.18,9.88,11.08
200311,0.96,0.17,2.04,2.7,3.36
200312,4.81,4.71,6.1,1.69,1.65
200401,1.24,1.65,2.59,2.67,7.31
200402,1.56,2,0.85,1.89,0.21
200403,-1.89,-0.92,-0.34,-0.45,-1.13
200404,-0.71,-0.86,-1.59,-4.69,-6.37
200405,0.84,1.02,1.63,1.69,3.28
200406,1.28,2.99,1.81,3.22,1.72
200407,-1.79,-4.12,-4.69,-6.34,-11.03
200408,1.81,-0.26,-0.15,-2.45,-3.44
200409,-0.19,1.54,5.22,3.68,5.21
200410,0.89,1.03,2.22,3.38,2.12
200411,3.72,4.19,4.74,7,7.63
200412,3.22,2.95,4.12,3.27,6.37
200501,-1.92,-1.55,-3.15,-2.53,-5.82
200502,1.26,2.77,2.4,2.11,3.23
200503,-1.87,-1.18,-0.65,-1.14,-4.04
200504,-0.56,-3.54,-3.31,-4.02,-4.92
200505,2.25,3.34,4.62,7.63,7.49
200506,-1.13,1.94,1.75,3.75,2.75
200507,2.07,5.52,4.65,7.34,7.3
200508,-1.08,-2.12,1.19,0.25,-1.69
200509,-0.01,0.24,1.7,3.17,1.17
200510,-0.24,-2.38,-2.44,-3.32,-3.59
200511,3.57,4,2.51,6.5,4.37
200512,-0.27,-0.72,0.5,0.86,2.09
200601,1.41,1.34,2.04,9.19,9.65
200602,1.26,1.33,0.4,-3.22,-3.54
200603,1.23,1.7,2.02,2.05,4.41
200604,1.53,0.63,-1.14,1.76,2.74
