,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
200404,-0.11,-1.15,-3.54,-3.32,-3.74
200405,0.92,1.43,0.98,3.1,1.84
200406,4.03,2.23,3.13,2.11,2.13
200407,-3.54,-1.59,-5.74,-7.51,-6.1
200408,1.58,-0.73,-0.58,0.09,-0.32
200409,0.89,2.88,3.82,4.32,2.61
200410,0.7,1.81,2.58,1.99,1.18
200411,3.44,4.78,6.67,6.92,4.84
200412,4.94,2.33,3.43,3.76,3.05
200501,-2.04,-2.34,-3.39,-4.58,-4.47
200502,2.8,1.3,2.75,2.3,2.01
200503,-2.3,-0.67,-0.82,-1.56,-2.03
200504,-2.21,-1.51,-3.99,-3.09,-1.9
200505,2.4,2.42,4.3,6.75,5.14
200506,0.47,-0.16,2.33,0.45,2.26
200507,2.89,3.73,6.69,5.25,4.03
200508,-1.7,1.17,-1.23,-1.12,-0.09
200509,-0.42,0.39,1.52,2.7,1.43
200510,-1.18,-2.04,-2.91,-2.03,-0.36
200511,2.34,4.78,4.3,4.93,4.66
200512,0.5,0.27,0.76,-0.26,1.19
200601,2.45,3.92,6.43,3.63,3.96
200602,1.09,-0.77,-0.89,-1.21,-0.7
200603,2.31,1.42,2.98,3.57,1.77
200604,0.71,0.02,1.65,0.88,2.73
200605,-2.11,-3,-4.46,-4.7,-4.68
200606,0.61,0.62,0.32,-0.85,0.61
200607,-0.36,0.23,-2.72,-3.48,-1.17
200608,3.68,3.05,0.9,3.13,0.4
200609,1.58,0.48,1.65,0.38,1.52
200610,3.97,3.91,3.85,3.99,4.64
200611,1.86,1.98,2.76,2.99,3.96
200612,2.38,0.67,-0.07,0.21,-0.67
200701,1.3,2.81,2.84,1.67,2.46
200702,-1.86,-0.77,-0.45,0.38,-0.67
200703,0.7,1.76,1.77,1.16,2.94
200704,4.13,3.38,4.26,3.17,2.78
200705,2.23,3.03,5.03,3.75,5.9
200706,-1.56,-2.14,-0.19,-2.51,-0.76
200707,-4.64,-3.64,-3.7,-0.73,-3.86
200708,2.27,2.13,1.71,0.28,2.14
200709,3.46,2.09,3.98,6.1,3.84
