,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197203,2.43,0.76,-2.15,-1.08,1
197204,0.73,0.81,-0.19,0.49,0.65
197205,3.23,-0.94,1.83,0.34,-1.86
197206,-1.01,-2.81,-2.7,-2.84,-5.86
197207,0.87,-2.01,-0.89,-1.14,-2.07
197208,0.57,5.17,5.9,7.74,5.55
197209,-0.1,-2.18,-1.57,0.86,-3.71
197210,0.58,0.47,1.81,2.11,-0.04
197211,2.04,6.56,6.74,7.7,11
197212,3.28,-0.46,-0.83,-0.39,-2.89
197301,-2.25,-4.88,-2.71,-0.34,-4.18
197302,-3.02,-4.53,-5.25,-5.5,-3.95
197303,-1.24,-1.82,0.56,0.95,0.67
197304,-6.52,-4.64,-2.66,-1.33,-3.85
197305,-0.65,-3.03,-1.9,-3.33,-6.13
197306,-0.83,-1.2,-0.41,-0.82,-2.52
197307,7.02,7.1,1.72,2.77,6.9
197308,-3.47,-2.63,-3.63,-2.74,-0.7
197309,1.47,8.95,9.2,8.71,9.04
197310,-0.1,-0.48,0.48,-2.13,1.99
197311,-12.44,-14.68,-12.08,-8.47,-12.47
197312,-1.85,0.94,6.27,3.88,6.46
197401,-1.51,2,-0.79,3.03,5.31
197402,-1.43,1.32,-0.28,2.34,3.3
197403,-1.62,-3.02,-2.59,-3,-2.59
197404,-3.59,-5.14,-5.13,-6.06,-3.9
197405,-1.27,-5.31,-5.78,-4.29,-7.5
197406,-1.71,-2.91,-2.07,-2.63,-0.58
197407,-10.64,-4.35,-3.42,-3.26,-2.88
197408,-10.12,-8.11,-5.43,-7.38,-7.19
197409,-14.43,-9.24,-5.23,-5.68,-7.32
197410,22.04,13.34,12.19,9.66,6.55
197411,-4.43,-2.98,-3.64,-3.36,-5.1
197412,-3.95,-0.76,-0.33,-2.7,-4.97
197501,10.27,16.23,16.65,22.42,25.24
197502,9.28,2.81,3.34,2.93,1.46
197503,3.15,3.17,0.74,6.25,6.73
197504,5.74,4.53,1.66,4.82,4.06
197505,5.38,8.14,5,3.08,3.89
197506,3.88,7.13,5.56,7.87,6.6
197507,-7.89,-4.35,-4.15,-4.47,-3.84
197508,-2.36,-2.35,-2.5,-0.93,-5.04
197509,-4.53,-1.81,-2.91,-3.88,-4.47
197510,6.81,5.43,4.67,5.53,3.52
197511,3.22,2.54,3.28,4.07,4.13
197512,-2.56,0.65,0.24,0.01,0.56
197601,11.36,10.82,15.23,18.59,22.77
197602,-1.71,2.12,1.82,3.57,10.37
197603,2.73,3.07,2.51,2.01,2.69
197604,-2.15,-0.06,0.65,-0.45,-1.59
197605,-1.18,0.02,-1.01,-2.51,-1.74
197606,4.42,4.16,5.81,5.59,4.19
197607,-1.61,0.16,0.32,0.16,1.47
197608,-0.59,0.16,1.46,-0.94,-0.85
197609,1.75,3.78,3.09,3.32,0.92
197610,-2.53,-2.14,-0.85,-2.3,-2.99
197611,-0.81,1.16,2.32,2.46,4
197612,4.38,7.52,6.26,8.68,9.1
197701,-7.02,-2.57,-0.87,-0.05,2.15
197702,-1.52,-2.72,-1.04,-1.35,-1.41
197703,-1.52,-1.05,-0.77,-0.15,1.36
197704,-1.84,1.95,1.58,3.3,3.45
197705,-2.08,-0.74,0.55,-0.93,-0.93
197706,6.17,4.52,3.69,5.06,5.7
197707,-1.1,-2.43,-0.77,-0.21,-2.27
197708,0.96,-2.74,-2.41,-3.65,-2.81
197709,-0.48,-0.33,1.79,0.49,-0.09
197710,-4.34,-3.68,-4.3,-2.42,-3.1
197711,4.21,4.49,4.16,4.25,7.15
197712,0.33,1.12,1.15,0.49,1.1
197801,-6.13,-6.71,-5,-4.26,-1.61
197802,-2.52,-0.85,1.68,-0.08,-0.5
197803,1.97,4.45,3.89,3.75,6.09
197804,11.37,8.3,5.37,5.42,6.97
197805,2.21,2.53,1.29,1.89,4.51
197806,-1.12,-2.24,-1.16,-0.73,-0.11
197807,7.26,5.07,4.17,4.79,6.22
197808,3.91,4.68,4.78,3.86,4.24
197809,-3.12,-0.27,1.31,0.18,-0.19
197810,-11.05,-11.89,-9.08,-11.22,-15.83
197811,3.44,3.24,3.75,3.29,3.34
197812,3.22,1.43,0.61,0.59,0.42
197901,3.3,5.56,4.83,6.52,8.39
197902,-4.02,-2.57,-2.39,-2.15,-2.85
197903,6.03,7.03,5.41,6.9,8.5
197904,0.44,0.9,0.25,1.55,1.24
197905,-2.06,-1.12,-1.31,-0.89,-1.22
197906,2.96,5.35,5.15,6.54,5.1
197907,0.28,2.17,2.04,1.83,3.53
197908,6.96,7.21,4.92,5.53,6.54
197909,-1.18,0.58,0.99,-0.26,-0.65
197910,-6.88,-6.47,-6.59,-8.3,-9.42
197911,6.81,7.23,5.08,6.79,3.78
197912,3.1,3.98,0.8,1.6,3.94
198001,4.63,7.33,6.08,6.15,9.48
198002,-3.57,0.23,2.21,-0.75,0.11
198003,-9.2,-12.41,-11.02,-11.83,-15.37
198004,3.81,4.28,5.83,8.07,4.52
198005,5.76,5.84,6.05,5.41,7.64
198006,3.19,4.36,2.64,4.4,2.28
198007,11.59,6.72,4.76,3.81,5.78
198008,3.62,1.9,1.93,1.85,1.05
198009,4.01,5.34,3.11,-0.58,0.34
198010,1.72,3.81,3.86,-1.14,0.81
198011,11.56,13.52,14.97,4.41,2.7
198012,-1.54,-5.26,-4.7,-1.07,-0.65
198101,-5.87,-6.29,-4.94,0.37,2.35
198102,2.37,2.03,0.55,2.54,1.38
198103,4.84,4.14,2.17,5.26,7.8
198104,-1.28,-2.85,-1.57,1.98,0.33
198105,2.47,-0.95,-0.58,2.84,2.22
198106,-4.92,0.64,2.43,0.28,0.2
198107,0.92,1.66,-2.16,-2.25,-0.72
198108,-7.03,-6.7,-5.4,-5.29,-1.91
198109,-7.6,-6.25,-6.12,-2.98,-1.76
198110,8.78,7.43,3.93,2.99,4.61
198111,3.03,5.33,4.72,4.78,4.24
198112,-2.85,-3.06,-3.01,-1.98,-1.99
198201,-2.14,-3.74,-3.05,-1.57,0.6
198202,-7.4,-6.76,-2.75,-1.2,-2.2
198203,-3.28,0.17,-1.01,1.63,1.78
198204,6.54,4.33,3.4,3.79,2.34
198205,-4.05,-2.13,-2.28,-2.89,-1.6
198206,-3.3,-1.3,-0.75,-1.61,-1.83
198207,-0.39,-3.24,-3.63,-2.18,-1.82
198208,10.83,11.57,12.12,13.07,11.73
198209,2.07,2.38,2.73,0.76,1.11
198210,13.14,12.02,11.17,11.6,9.11
198211,7.81,5.17,3.02,3.8,4.98
198212,1.77,0.27,1.18,0.4,4.04
198301,3.91,3.59,3.88,5.42,3.29
198302,3.29,3.95,3.82,1.94,4
198303,2.64,3.17,4.57,4.16,3.69
198304,6.49,6.31,8.46,8.55,7.13
198305,1.68,0.43,1.32,-0.44,2.15
198306,5.82,5.34,3.14,1.26,1.69
198307,-5.11,-4.98,-2.61,-0.32,-1.38
198308,-1.9,-1.4,-0.34,3.21,5.07
198309,2.48,2.02,2.27,0.3,1.31
198310,-4.63,-3.15,-1.05,-0.65,-0.96
198311,2.74,3.23,3.35,2.5,1.81
198312,-1.31,-0.24,-2,-0.94,0.4
198401,-6.01,-1.58,0.25,1.18,4.96
198402,-4.7,-6.11,-4.6,-2.69,-1.04
198403,1.26,2.29,0.66,1.73,0.19
198404,0.51,-0.26,0.81,0.61,1.14
198405,-5.16,-3.81,-5.88,-4.27,-6.13
198406,4.06,5.06,1.93,-0.24,3.98
198407,-1.61,-2.71,-0.84,-3.42,-1.98
198408,11.9,11.08,10.67,11.2,11.59
198409,-2.86,-1.15,0.13,1.83,3.42
198410,-0.16,1.49,1.13,-0.57,-0.68
198411,-3.22,-0.97,-1.3,-0.26,1.48
198412,2.7,2.34,2.46,2.87,1.72
198501,11.19,9.59,8.18,7.42,5.31
198502,1.18,2.08,1.84,2.44,2.11
