KYTREASNOX,CALDT,TDYTM
2000005,08/16/1974,8.2688391721
2000005,08/19/1974,8.2716388639
2000005,08/20/1974,8.3042715825
2000005,08/21/1974,8.4006403972
2000005,08/22/1974,8.4975293206
2000005,08/23/1974,8.5146045775
2000005,08/26/1974,8.5097433929
2000005,08/27/1974,8.4706869114
2000005,08/28/1974,8.4717271784
2000005,08/29/1974,8.4246903081
2000005,08/30/1974,8.3937058365
2000005,09/03/1974,8.4458759306
2000005,09/04/1974,8.4148121921
2000005,09/05/1974,8.3677520532
2000005,09/06/1974,8.3527475526
2000005,09/09/1974,8.2757685124
2000005,09/10/1974,8.2767409644
2000005,09/11/1974,8.2617377233
2000005,09/12/1974,8.326719104
2000005,09/13/1974,8.2796706845
2000005,09/16/1974,8.2586013907
2000005,09/17/1974,8.1557619058
2000005,09/18/1974,8.0930240884
2000005,09/19/1974,8.0145691727
2000005,09/20/1974,7.9679400647
2000005,09/23/1974,7.9072318125
2000005,09/24/1974,7.9238580464
2000005,09/25/1974,7.9246900398
2000005,09/26/1974,7.8544325549
2000005,09/27/1974,7.8000771764
2000005,09/30/1974,7.8699293217
2000005,10/01/1974,7.9227207781
2000005,10/02/1974,7.9232674168
2000005,10/03/1974,7.9238156443
2000005,10/04/1974,7.8496326497
2000005,10/07/1974,7.7617416492
2000005,10/08/1974,7.7622229736
2000005,10/09/1974,7.8148846382
2000005,10/10/1974,7.8079272566
2000005,10/11/1974,7.7562256543
2000005,10/15/1974,7.7357944407
2000005,10/16/1974,7.7661275847
2000005,10/17/1974,7.789050919
2000005,10/18/1974,7.7073994319
2000005,10/21/1974,7.6938910613
2000005,10/22/1974,7.7092897846
2000005,10/23/1974,7.7396735028
2000005,10/24/1974,7.7401651671
2000005,10/25/1974,7.7706362555
2000005,10/28/1974,7.8323351299
2000005,10/29/1974,7.780195149
2000005,10/30/1974,7.7882347904
2000005,10/31/1974,7.7661917114
2000005,11/01/1974,7.7742290933
2000005,11/04/1974,7.745674104
2000005,11/06/1974,7.6715174794
2000005,11/07/1974,7.6045311854
2000005,11/08/1974,7.6124675898
2000005,11/12/1974,7.5693078153
2000005,11/13/1974,7.569744881
2000005,11/14/1974,7.5103035541
2000005,11/15/1974,7.4211688493
2000005,11/18/1974,7.4439295464
2000005,11/19/1974,7.4291385469
2000005,11/20/1974,7.3919768173
2000005,11/21/1974,7.3920945703
2000005,11/22/1974,7.3623980676
2000005,11/25/1974,7.3478092558
2000005,11/26/1974,7.3852282872
2000005,11/27/1974,7.3928234594
2000005,11/29/1974,7.3781155551
2000005,12/02/1974,7.3934603494
2000005,12/03/1974,7.4085877097
2000005,12/04/1974,7.3487751874
2000005,12/05/1974,7.3339194853
2000005,12/06/1974,7.2966345399
2000005,12/09/1974,7.0514149215
2000005,12/10/1974,7.0736102243
2000005,12/11/1974,7.0365798462
2000005,12/12/1974,7.0661857963
2000005,12/13/1974,7.0291329475
2000005,12/16/1974,7.0216533462
2000005,12/17/1974,6.9624014325
2000005,12/18/1974,6.9106363094
2000005,12/19/1974,6.9179464865
2000005,12/20/1974,6.9178772472
2000005,12/23/1974,7.0512573997
2000005,12/24/1974,7.0512527351
2000005,12/26/1974,6.9768287398
2000005,12/27/1974,7.0065423933
2000005,12/30/1974,7.0512433938
2000005,12/31/1974,7.118595129
2000005,01/02/1975,7.1111627531
2000005,01/03/1975,7.141226752
2000005,01/06/1975,7.118811207
2000005,01/07/1975,7.1263712033
2000005,01/08/1975,7.1038502614
2000005,01/09/1975,7.0813325405
2000005,01/10/1975,7.1114456488
2000005,01/13/1975,7.1568415398
2000005,01/14/1975,7.1644636273
2000005,01/15/1975,7.2175384741
2000005,01/16/1975,7.217632652
2000005,01/17/1975,7.2025557758
2000005,01/20/1975,7.3017727307
2000005,01/21/1975,7.225723418
2000005,01/22/1975,7.1878142084
2000005,01/23/1975,7.2183209858
2000005,01/24/1975,7.1879893771
2000005,01/27/1975,7.1578244473
2000005,01/28/1975,7.1426930001
2000005,01/29/1975,7.1123630977
2000005,01/30/1975,7.0820470574
2000005,01/31/1975,7.1425558663
2000005,02/03/1975,7.058516284
2000005,02/04/1975,7.0025089999
2000005,02/05/1975,6.8908054323
2000005,02/06/1975,6.9117376751
2000005,02/07/1975,6.9327104178
2000005,02/10/1975,6.9958727254
2000005,02/11/1975,6.9748864331
2000005,02/13/1975,7.0030943832
2000005,02/14/1975,6.9189567356
2000005,02/18/1975,6.8211273464
2000005,02/19/1975,6.7653266948
2000005,02/20/1975,6.7722671248
2000005,02/21/1975,6.7652701576
2000005,02/24/1975,6.8071144467
2000005,02/25/1975,6.9053095547
2000005,02/26/1975,7.00406778
2000005,02/27/1975,6.9617628077
2000005,02/28/1975,6.9336054939
2000005,03/03/1975,6.9620223948
2000005,03/04/1975,6.976239436
2000005,03/05/1975,6.919747852
2000005,03/06/1975,6.9127352414
2000005,03/07/1975,6.9339884028
2000005,03/10/1975,6.9766984176
2000005,03/11/1975,6.9625844039
2000005,03/12/1975,6.9626586978
2000005,03/13/1975,6.9698357992
2000005,03/14/1975,6.9770225709
2000005,03/17/1975,7.0485812316
2000005,03/18/1975,7.0916208087
2000005,03/19/1975,7.1923040357
2000005,03/20/1975,7.1924878318
2000005,03/21/1975,7.1998797587
2000005,03/24/1975,7.2655149693
2000005,03/25/1975,7.2223178584
2000005,03/26/1975,7.2514695922
2000005,03/27/1975,7.2444426356
2000005,03/31/1975,7.2670890928
2000005,04/01/1975,7.3401152145
2000005,04/02/1975,7.5015103873
2000005,04/03/1975,7.546030989
2000005,04/04/1975,7.5611449605
2000005,04/07/1975,7.7702151166
2000005,04/08/1975,7.6961334897
2000005,04/09/1975,7.6519458081
2000005,04/10/1975,7.6821092615
2000005,04/11/1975,7.6899853954
2000005,04/14/1975,7.6540285143
2000005,04/15/1975,7.6395564457
2000005,04/16/1975,7.6250827956
2000005,04/17/1975,7.6851399507
2000005,04/18/1975,7.7604122114
2000005,04/21/1975,7.837045958
2000005,04/22/1975,7.8375594898
2000005,04/23/1975,7.8154636354
2000005,04/24/1975,7.8009025032
2000005,04/25/1975,7.8089391227
2000005,04/28/1975,7.8557958056
2000005,04/29/1975,7.8260793853
2000005,04/30/1975,7.8114837771
2000005,05/01/1975,7.8346839284
2000005,05/02/1975,7.6168228105
2000005,05/05/1975,7.5506929496
2000005,05/06/1975,7.5735483418
2000005,05/07/1975,7.5440074818
2000005,05/08/1975,7.4995370036
2000005,05/09/1975,7.4999151352
2000005,05/12/1975,7.4562005599
2000005,05/13/1975,7.4117798086
2000005,05/14/1975,7.3674128625
2000005,05/15/1975,7.3826355761
2000005,05/16/1975,7.2935934139
2000005,05/19/1975,7.2422214111
2000005,05/20/1975,7.2349838438
2000005,05/21/1975,7.2648640807
2000005,05/22/1975,7.2948136363
2000005,05/23/1975,7.2726894185
2000005,05/27/1975,7.3107886248
2000005,05/28/1975,7.3259529268
