,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
200011,2.3,-2.27,-7.12,-12.21,-18.91
200012,4.26,5.18,-2.53,4.1,-0.46
200101,-7.19,-2.63,7.32,4.73,12.62
200102,0.36,-1.18,-7.47,-10.19,-20.74
200103,-3.46,-4.75,-6.56,-4.89,-12.34
200104,4.41,4.16,11.09,7.97,10.94
200105,2.15,1.44,0.44,0.9,1.07
200106,-4.72,-2.65,0.18,-1.79,-0.07
200107,0.82,1.38,2.91,-2.49,-6.12
200108,-1.41,-2.62,-5.01,-5.31,-12.13
200109,-2.06,-3.39,-3.59,-12.1,-17.37
200110,0.22,-0.67,-2.01,3.98,9.55
200111,2.05,3.87,4.82,11.16,14.22
200112,1.15,1.04,2.96,2.15,0.89
200201,-0.3,0.06,0.28,-1.74,-3.69
200202,2.07,1.74,2.1,-2.51,-9.7
200203,3.87,3.22,2.26,4.21,7.21
200204,-0.02,-3.62,-3.42,-5.69,-11.03
200205,-1.54,-0.26,0.38,-0.95,-2.57
200206,-7.77,-3.47,-5.07,-8.99,-10.13
200207,-4.65,-8.01,-7.46,-5.6,-11.96
200208,2.13,-0.47,1.8,-0.33,0.37
200209,-7.05,-9.89,-8.64,-11.96,-13.14
200210,3.35,7.37,5.77,6.05,15.82
200211,1.1,2.88,2.08,7.76,14.39
200212,-0.54,-2.81,-3.34,-6.7,-12.56
200301,-2.75,-1.7,-3.7,-2.58,-2.88
200302,-2.64,-2.72,-2.62,-1.11,-0.35
200303,1.47,1.5,1.77,1.18,-0.23
200304,4.72,6.25,7.46,10.39,12.21
200305,5.33,4.51,4.09,5.47,9.79
200306,0.89,1.52,1.37,1.01,1.93
200307,-1.77,1.01,2.8,3.98,6.05
200308,-0.51,3.51,0.76,3.54,5.46
200309,0.91,-1.61,-1.77,-1.53,-1.95
200310,4.08,4.85,4.63,6.13,10.29
200311,2.38,2.85,-0.51,0.31,2.18
200312,5.1,5.18,5.39,4.49,2.6
200401,1.17,1.12,2.56,1.4,3.5
200402,2.27,2.93,2.12,0.52,-0.08
200403,-1.69,-0.41,-1.12,-1.43,-1.32
200404,0.88,-0.2,-0.98,-1.76,-6.07
200405,0.09,1.3,0.31,1.05,3.49
200406,1.56,2.05,1.27,3.78,1.55
200407,-2.91,-2.26,-0.62,-3.46,-10.2
200408,2.28,0.88,0.71,0.04,-3.98
200409,-0.87,2.2,1.93,1.95,3.5
200410,0.37,0.57,0.22,1.77,4.87
200411,4.24,3.58,4.85,5,6.29
200412,3.19,2.64,3.41,3.77,4.92
200501,-2.05,-0.42,-1.95,-2.26,-6.24
200502,2.39,5.15,1.68,0.07,0.5
200503,-0.02,-2.46,-1.88,-2.14,-2.2
200504,-0.16,-2,-2.39,-2.64,-5.33
200505,2.01,2.27,3.15,4.4,8.27
200506,0.61,1.19,0.88,0.36,0.12
200507,1.93,3.71,4.64,5.68,6.68
200508,-1.82,0.69,-0.65,-1.18,-1.72
200509,-0.1,1.71,0.5,1.3,0.69
200510,-1.32,-2.55,-0.95,-0.94,-3.34
200511,1.94,2.89,4.65,5.42,6.25
200512,1.31,-0.1,-1.13,0.67,-0.83
200601,2.3,3.05,2.41,4.97,4.79
200602,0.05,-0.46,0.15,0.41,0.38
200603,0.55,1.25,2.32,3.34,2.27
200604,0.88,1.73,0.09,2.5,0.23
200605,-1.32,-1.82,-3.16,-4.29,-6.01
200606,0.4,0.93,-0.13,-0.53,-1.22
200607,2.81,0.22,-0.58,-1.61,-6.2
200608,2.34,1.21,2.36,1.66,5.95
200609,1.86,2.37,0.73,4.51,2.34
200610,2.68,3.56,3.52,4.39,3.77
200611,0.98,2.36,1.78,3.55,2.78
200612,1.1,1.29,2.42,1.55,-0.28
200701,0.88,0.79,2.25,2.46,3.79
200702,-1.95,-1.95,-1.04,-1.3,-0.58
200703,0.6,1.93,2,0.34,0.78
200704,3.99,3.89,4,4.74,4.7
200705,2.51,3.78,3.34,4.88,4.83
200706,-2.17,-1.12,-2.38,-1.65,-0.22
200707,-3.06,-3.39,-3.66,-3.02,-3.65
200708,2.42,1.55,1.2,1.54,-0.81
200709,2.95,3.81,3.71,3.41,4.51
200710,1.67,2.07,1.64,1.97,3.13
200711,-1.94,-4.84,-5.2,-4.85,-7.75
200712,-1.88,-0.04,0.61,-0.19,-1.07
200801,-3.59,-5.83,-5.82,-9.45,-7.32
200802,-3,-2.79,-3.05,-2.7,-2.34
200803,-0.11,-1,0.29,-0.75,-2.43
200804,1.5,5.26,4.78,7.02,8.65
200805,0.77,1.13,2.61,3.46,4.31
200806,-8.28,-7.18,-7.91,-9.08,-9.64
200807,-0.78,-0.42,-0.14,-0.5,-2.49
200808,1.38,1.67,2.3,1,1.71
200809,-4.53,-5.63,-10.44,-15.41,-18.8
200810,-12.98,-15.98,-18.36,-24.17,-22.79
200811,-3.07,-8.6,-9.6,-12.15,-15.26
200812,0.05,1.29,3.31,3.14,4.1
200901,-8.4,-8.49,-8.23,-8.43,-3.15
