,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
199911,1.42,2.77,3.55,2.12,4.6
199912,5.13,3.22,3.4,9.05,12.83
200001,-1.62,-1.73,-4.87,-4.09,-6.59
200002,2.27,-0.76,-2.12,2.31,5.94
200003,5.09,9.26,6.9,7.76,7.83
200004,-2.64,-2.84,-0.08,0.34,-12.72
200005,-0.74,-3.86,-0.44,-2.08,-6.57
200006,2.09,1.46,0.59,5.83,7.63
200007,-1.32,2.13,-1.41,-2.58,-3.23
200008,7.16,6.17,4.42,6.97,9.84
200009,-2.41,-1.29,-0.51,0.3,-10.44
200010,-0.61,1.24,-0.15,-0.25,-5.47
200011,-5.98,-1.41,-2.91,-6.56,-18.04
200012,6.59,5.13,5.42,4.47,-4.59
200101,1.14,2.35,1.37,-0.04,8.56
200102,-3.02,-2.51,-3.89,-6.28,-18.52
200103,-3.91,-3.69,-3.99,-6.85,-10.43
200104,6.57,6.55,4.02,7.6,12.52
200105,3.64,2.48,2.29,1.22,-1.06
200106,-1.35,-2.08,-2.1,-2.15,-0.37
200107,-2.53,-0.82,-0.09,1.26,-4.29
200108,-2.27,-3.13,-3.14,-5.06,-10.27
200109,-7.75,-7.11,-7.17,-5.73,-12.51
200110,0.91,2.64,0.62,-0.53,6.15
200111,8,4.97,7.51,6.37,9.99
200112,1.96,2.8,3.05,1.15,0.68
200201,-0.16,-1.39,-0.01,-0.83,-1.94
200202,-0.83,0.69,0.66,-1.2,-5.67
200203,5.47,4.89,3.26,3.48,5.04
200204,-2.17,-4.8,-1.48,-4.88,-8.53
200205,-0.29,0.6,-1.27,-0.34,-2.87
200206,-5.84,-4.46,-8.7,-5.94,-8.09
200207,-8.68,-8.11,-7.73,-6.92,-9.02
200208,-1.25,0.27,0.36,1.07,1.43
200209,-12.95,-10.47,-10.41,-10.28,-8.8
200210,9.4,8.51,6.89,8.82,6.9
200211,12.75,6.66,5.6,5.25,3.64
200212,-11.14,-4.15,-3.96,-5.86,-5.6
200301,-2.21,-1.7,-3.22,-3.28,-2.72
200302,-0.19,-3.15,-2.57,-1.27,-1.91
200303,-0.92,1.06,-1.06,2.59,1.96
200304,10.47,7.07,7.47,8.92,8.35
200305,11.9,6.25,8.61,2.74,6.67
200306,-0.07,0.65,1.95,2.7,0.71
200307,3.61,2.2,2.64,2.39,1.51
200308,5.56,4.41,2.41,1.09,1.69
200309,-2.16,-3.16,-1.29,0.06,-0.92
200310,7.99,8.57,5.42,4.63,7.03
200311,3.56,1.13,1.34,1.04,1.53
200312,4.97,5.1,3.75,5.23,2.97
200401,4.91,0.82,1.04,2.58,2.4
200402,0.6,0.08,2.9,0.93,2.32
200403,-1.97,-1.69,-0.82,-2.02,0.19
200404,-4.41,-1.37,-1.48,-1.34,-1.87
200405,2.55,0.84,0.33,1.75,1.49
200406,1.7,2.18,1.28,2.77,1.27
200407,-6.95,-3.92,-3.31,-2.51,-5.12
200408,-2.2,0.35,-0.34,0.94,0.54
200409,0.4,2.48,1.57,0.85,3
200410,3,2.68,0.97,1.78,0.45
200411,4.75,4.78,5.08,3.98,5.41
200412,4.47,3.19,3.86,3.1,3.81
200501,-5.31,-2.48,-1.83,-1.17,-4.1
200502,2.11,1.63,3.36,1.93,1.41
200503,-1.41,-0.84,-1.5,-2.33,-1.8
200504,-3.52,-2.26,-3.12,-1.67,-2.04
200505,5.23,3.87,3.61,2.61,5.19
200506,1.45,0.98,0.3,0,1.55
200507,3.67,3.76,3.32,4.51,5.11
200508,-1.15,-1.1,-1.46,0.23,-1.8
200509,0.72,-0.03,-0.2,1.32,1.94
