KYTREASNOX,CALDT,TDYTM
2000003,09/27/1974,7.9894559673
2000003,09/30/1974,7.8864308108
2000003,10/01/1974,7.9807402729
2000003,10/02/1974,8.0116183994
2000003,10/03/1974,8.010586784
2000003,10/04/1974,7.8167591817
2000003,10/07/1974,7.4568566858
2000003,10/08/1974,7.4867105061
2000003,10/09/1974,7.679032138
2000003,10/10/1974,7.6120156925
2000003,10/11/1974,7.642583359
2000003,10/15/1974,7.6345724082
2000003,10/16/1974,7.7649844233
2000003,10/17/1974,7.7633184211
2000003,10/18/1974,7.5952378544
2000003,10/21/1974,7.5217956629
2000003,10/22/1974,7.5530682253
2000003,10/23/1974,7.5845285039
2000003,10/24/1974,7.6161781883
2000003,10/25/1974,7.6480189888
2000003,10/28/1974,7.7789511775
2000003,10/29/1974,7.6400245175
2000003,10/30/1974,7.6380098136
2000003,10/31/1974,7.4260647368
2000003,11/01/1974,7.4587201866
2000003,11/04/1974,7.4335041478
2000003,11/06/1974,7.3437045875
2000003,11/07/1974,7.3141175951
2000003,11/08/1974,7.3470705826
2000003,11/12/1974,7.2906080282
2000003,11/13/1974,7.2921942061
2000003,11/14/1974,7.1665259121
2000003,11/15/1974,7.1040489066
2000003,11/18/1974,7.2007068979
2000003,11/19/1974,7.1688381613
2000003,11/20/1974,7.1691126112
2000003,11/21/1974,7.1693925002
2000003,11/22/1974,7.1696778733
2000003,11/25/1974,7.2033057596
2000003,11/26/1974,7.23653787
2000003,11/27/1974,7.3029089225
2000003,11/29/1974,7.2711421156
2000003,12/02/1974,7.3731839718
2000003,12/03/1974,7.3405738277
2000003,12/04/1974,7.2742204288
2000003,12/05/1974,7.2748590902
2000003,12/06/1974,7.208008101
2000003,12/09/1974,6.9036765538
2000003,12/10/1974,7.0054142606
2000003,12/11/1974,6.9029399389
2000003,12/12/1974,6.936791294
2000003,12/13/1974,6.9365244853
2000003,12/16/1974,6.9011312311
2000003,12/17/1974,6.8313938518
2000003,12/18/1974,6.7960660938
2000003,12/19/1974,6.8651727646
2000003,12/20/1974,6.8297351769
2000003,12/23/1974,6.9339964216
2000003,12/24/1974,6.9337581073
2000003,12/26/1974,6.8976613463
2000003,12/27/1974,6.8616029241
2000003,12/30/1974,6.896331513
2000003,12/31/1974,6.8812582279
2000003,01/02/1975,6.8483221037
2000003,01/03/1975,6.8477484979
2000003,01/06/1975,6.7814812718
2000003,01/07/1975,6.6837338285
2000003,01/08/1975,6.5855621173
2000003,01/09/1975,6.5843009514
2000003,01/10/1975,6.6155898627
2000003,01/13/1975,6.6777040522
2000003,01/14/1975,6.6437660213
2000003,01/15/1975,6.7417416138
2000003,01/16/1975,6.7409060371
2000003,01/17/1975,6.6404495335
2000003,01/20/1975,6.6705810536
2000003,01/21/1975,6.5688963907
2000003,01/22/1975,6.4667455221
2000003,01/23/1975,6.2631891071
2000003,01/24/1975,6.1262187746
2000003,01/27/1975,6.1185384779
2000003,01/28/1975,6.0818985077
2000003,01/29/1975,6.0792071518
2000003,01/30/1975,6.1107545053
2000003,01/31/1975,6.1189830134
2000003,02/03/1975,5.9662560818
2000003,02/04/1975,5.8738883242
2000003,02/05/1975,5.658065458
2000003,02/06/1975,5.7188056279
2000003,02/07/1975,5.8418206969
2000003,02/10/1975,5.9654160164
2000003,02/11/1975,5.9653045011
2000003,02/13/1975,5.9650880134
2000003,02/14/1975,5.8387038974
2000003,02/18/1975,5.6752366923
2000003,02/19/1975,5.6097488075
2000003,02/20/1975,5.6398926338
2000003,02/21/1975,5.6060515944
2000003,02/24/1975,5.6974749568
2000003,02/25/1975,5.7932310757
2000003,02/26/1975,5.8895982073
2000003,02/27/1975,5.8884927851
2000003,02/28/1975,5.8218653716
2000003,03/03/1975,5.8179811133
2000003,03/04/1975,5.8829160365
2000003,03/05/1975,5.8153694362
2000003,03/06/1975,5.7474937479
2000003,03/07/1975,5.8461291853
2000003,03/10/1975,5.8761106947
2000003,03/11/1975,5.8411889186
2000003,03/12/1975,5.8060837346
2000003,03/13/1975,5.7707934696
2000003,03/14/1975,5.8033878908
2000003,03/17/1975,5.8680061535
2000003,03/18/1975,5.8668332194
2000003,03/19/1975,5.9002200857
2000003,03/20/1975,5.8644756352
2000003,03/21/1975,5.8980551056
2000003,03/24/1975,5.9649543529
2000003,03/25/1975,5.9992684496
2000003,03/26/1975,6.0337990177
2000003,03/27/1975,6.0331118847
2000003,03/31/1975,6.1837829204
2000003,04/01/1975,6.2732034701
2000003,04/02/1975,6.5207143046
2000003,04/03/1975,6.4853070883
2000003,04/04/1975,6.6717040257
2000003,04/07/1975,6.9176866322
2000003,04/08/1975,6.8506000851
2000003,04/09/1975,6.7510040316
2000003,04/10/1975,6.7477676038
2000003,04/11/1975,6.7121573262
2000003,04/14/1975,6.6694529631
2000003,04/15/1975,6.6332834788
2000003,04/16/1975,6.5641767664
2000003,04/17/1975,6.6260968943
2000003,04/18/1975,6.6883977323
2000003,04/21/1975,6.7444907534
2000003,04/22/1975,6.7745309077
2000003,04/23/1975,6.7712905116
2000003,04/24/1975,6.7344932416
2000003,04/25/1975,6.7647667219
2000003,04/28/1975,6.7548715617
2000003,04/29/1975,6.7515434419
2000003,04/30/1975,6.6519384697
2000003,05/01/1975,6.6832895607
2000003,05/02/1975,6.3777193165
2000003,05/05/1975,6.3162211087
2000003,05/06/1975,6.3470127418
2000003,05/07/1975,6.4089774477
2000003,05/08/1975,6.3159101365
2000003,05/09/1975,6.3158115401
2000003,05/12/1975,6.1273878359
2000003,05/13/1975,6.0012292943
2000003,05/14/1975,6.0003006328
2000003,05/15/1975,6.0624713759
2000003,05/16/1975,5.9981924726
2000003,05/19/1975,5.962772327
2000003,05/20/1975,5.9614970795
